project_id,state,district,project_type,land_area_hectares,affected_families,compensation_status,legal_dispute,approval_stage,rehabilitation_progress_pct,stakeholder_responsiveness,historical_dept_performance_score,months_since_initiation,risk_score,risk_category,delay_label
LA-2023-0001,Telangana,Nagpur,Power Transmission Line,12.58,374,Paid,Yes,Possession Taken,61,High,0.3,47,8.73,High,Delayed
LA-2020-0002,Punjab,Sambalpur,Urban Metro,2.92,154,Paid,Yes,Possession Taken,63,Medium,0.9,33,7.17,Medium,Delayed
LA-2021-0003,Madhya Pradesh,Kolhapur,Highway,20.96,79,Paid,No,Notification Issued,54,Medium,0.52,25,7.4,Medium,Delayed
LA-2025-0004,Maharashtra,Bongaigaon,Railway Corridor,14.47,169,Pending,No,Possession Taken,14,Medium,0.71,46,7.41,Medium,Delayed
LA-2024-0005,Uttar Pradesh,Gudivada,Highway,51.17,56,Pending,No,Possession Taken,75,High,0.35,18,4.54,Low,Delayed
LA-2025-0006,Telangana,Patna,Power Transmission Line,63.33,179,Paid,No,Possession Taken,67,Medium,0.84,24,0.67,Low,Delayed
LA-2024-0007,Rajasthan,Tiruchirappalli,Port Connectivity,54.23,474,Paid,No,Award Declared,34,Low,0.96,29,8.15,Medium,On-Time
LA-2025-0008,Karnataka,Muzaffarpur,Power Transmission Line,41.14,64,Partially Paid,No,Compensation Disbursed,72,Medium,0.38,12,6.99,Medium,On-Time
LA-2025-0009,Telangana,Kishanganj,Irrigation Canal,26.47,72,Pending,No,Award Declared,52,High,0.55,46,5.51,Medium,Delayed
LA-2020-0010,Uttar Pradesh,Bongaigaon,Railway Corridor,31.92,85,Partially Paid,No,Survey Completed,67,Medium,0.83,12,5.37,Medium,On-Time
LA-2025-0011,Bihar,Muzaffarnagar,Irrigation Canal,73.64,69,Partially Paid,No,Survey Completed,69,Low,0.8,39,7.29,Medium,On-Time
LA-2021-0012,Telangana,Giridih,Highway,26.9,48,Partially Paid,Yes,Survey Completed,76,High,0.66,13,9.82,High,Delayed
LA-2020-0013,Karnataka,Chennai,Irrigation Canal,35.98,108,Pending,No,Compensation Disbursed,62,High,0.77,28,6.5,Medium,On-Time
LA-2021-0014,Maharashtra,Bhusawal,Railway Corridor,29.0,33,Paid,No,Possession Taken,76,Medium,0.89,32,2.36,Low,On-Time
LA-2025-0015,Bihar,Alwar,Urban Metro,35.83,122,Partially Paid,No,Award Declared,80,Low,0.81,14,6.37,Medium,Delayed
LA-2023-0016,Gujarat,Thrissur,Urban Metro,29.56,141,Pending,Yes,Award Declared,58,High,0.52,9,10.92,High,Delayed
LA-2021-0017,Rajasthan,Kota,Urban Metro,34.58,104,Partially Paid,No,Possession Taken,31,Medium,0.51,39,7.91,Medium,On-Time
LA-2021-0018,Odisha,Nadiad,Highway,38.52,62,Paid,No,Award Declared,56,Medium,0.53,9,4.23,Low,Delayed
LA-2025-0019,Gujarat,Secunderabad,Highway,47.51,226,Partially Paid,No,Notification Issued,56,Low,0.98,34,8.83,High,Delayed
LA-2022-0020,Punjab,Mahbubnagar,Port Connectivity,22.9,311,Pending,No,Survey Completed,43,Low,0.43,44,12.61,High,Delayed
LA-2024-0021,Bihar,Varanasi,Power Transmission Line,111.53,53,Paid,Yes,Notification Issued,28,Low,0.9,34,9.58,High,Delayed
LA-2024-0022,Odisha,Jorhat,Industrial Corridor,31.2,11,Partially Paid,Yes,Award Declared,27,Medium,0.65,41,9.24,High,Delayed
LA-2021-0023,Uttar Pradesh,Burhanpur,Industrial Corridor,43.81,109,Partially Paid,No,Award Declared,76,High,0.57,46,5.34,Medium,Delayed
LA-2021-0024,Punjab,Suryapet,Railway Corridor,37.3,97,Paid,No,Notification Issued,17,Medium,0.98,27,8.97,High,Delayed
LA-2022-0025,Uttar Pradesh,Tadipatri,Irrigation Canal,6.2,235,Pending,No,Award Declared,45,High,0.83,6,6.79,Medium,On-Time
